location,population,date,highest_infection_count,percentage_of_population_infected_with_covid
Gibraltar,32677,8/7/2022,19999,61.2000
Gibraltar,32677,8/6/2022,19999,61.2000
Gibraltar,32677,8/5/2022,19999,61.2000
Gibraltar,32677,8/4/2022,19999,61.2000
Gibraltar,32677,8/3/2022,19938,61.0200
Gibraltar,32677,8/2/2022,19938,61.0200
Gibraltar,32677,8/1/2022,19938,61.0200
Austria,8939617,11/3/2022,5453038,61.0000
Austria,8939617,11/2/2022,5448375,60.9500
Cyprus,896007,7/21/2022,545896,60.9300
Cyprus,896007,7/20/2022,545896,60.9300
Cyprus,896007,7/19/2022,545896,60.9300
Cyprus,896007,7/18/2022,545896,60.9300
Cyprus,896007,7/17/2022,545896,60.9300
Cyprus,896007,7/16/2022,545896,60.9300
Cyprus,896007,7/15/2022,545896,60.9300
Gibraltar,32677,7/31/2022,19902,60.9100
Gibraltar,32677,7/30/2022,19902,60.9100
Gibraltar,32677,7/29/2022,19902,60.9100
Gibraltar,32677,7/28/2022,19902,60.9100
Gibraltar,32677,7/27/2022,19902,60.9100
Gibraltar,32677,7/26/2022,19902,60.9100
Gibraltar,32677,7/25/2022,19902,60.9100
Gibraltar,32677,7/24/2022,19902,60.9100
Gibraltar,32677,7/23/2022,19902,60.9100
Gibraltar,32677,7/22/2022,19902,60.9100
Gibraltar,32677,7/21/2022,19902,60.9100
Austria,8939617,11/1/2022,5443883,60.9000
Austria,8939617,10/31/2022,5439567,60.8500
Austria,8939617,10/30/2022,5436721,60.8200
Gibraltar,32677,7/20/2022,19862,60.7800
Gibraltar,32677,7/19/2022,19862,60.7800
Gibraltar,32677,7/18/2022,19862,60.7800
Gibraltar,32677,7/17/2022,19862,60.7800
Gibraltar,32677,7/16/2022,19862,60.7800
Gibraltar,32677,7/15/2022,19862,60.7800
Gibraltar,32677,7/14/2022,19862,60.7800
Austria,8939617,10/29/2022,5432162,60.7700
Austria,8939617,10/28/2022,5426408,60.7000
Austria,8939617,10/27/2022,5421306,60.6400
